time,open,high,low,close
-1238724000,0.38,0.38,0.38,0.38
-1235872800,0.38,0.38,0.38,0.38
-1233453600,0.38,0.38,0.38,0.38
-1230775200,0.29,0.29,0.29,0.29
-1228010400,0.29,0.29,0.29,0.29
-1225591200,0.29,0.29,0.29,0.29
-1222999200,0.29,0.29,0.29,0.29
-1220410800,0.29,0.29,0.29,0.29
-1217732400,0.29,0.29,0.29,0.29
-1215140400,0.29,0.29,0.29,0.29
-1212289200,0.29,0.29,0.29,0.29
-1209783600,0.29,0.29,0.29,0.29
-1207188000,0.29,0.29,0.29,0.29
-1204423200,0.29,0.29,0.29,0.29
-1201917600,0.29,0.29,0.29,0.29
-1199239200,0.28,0.28,0.28,0.28
-1196560800,0.28,0.28,0.28,0.28
-1194055200,0.28,0.28,0.28,0.28
-1191376800,0.28,0.28,0.28,0.28
-1188702000,0.28,0.28,0.28,0.28
-1186110000,0.28,0.28,0.28,0.28
-1183518000,0.28,0.28,0.28,0.28
-1180839600,0.28,0.28,0.28,0.28
-1178161200,0.28,0.28,0.28,0.28
-1175392800,0.28,0.28,0.28,0.28
-1172887200,0.28,0.28,0.28,0.28
-1170295200,0.28,0.28,0.28,0.28
-1167530400,0.35,0.35,0.35,0.35
-1164938400,0.35,0.35,0.35,0.35
-1162519200,0.35,0.35,0.35,0.35
-1159668000,0.35,0.35,0.35,0.35
-1157252400,0.35,0.35,0.35,0.35
-1154574000,0.35,0.35,0.35,0.35
-1151809200,0.35,0.35,0.35,0.35
-1149303600,0.35,0.35,0.35,0.35
-1146625200,0.35,0.35,0.35,0.35
-1143943200,0.35,0.35,0.35,0.35
-1141351200,0.35,0.35,0.35,0.35
-1138759200,0.35,0.35,0.35,0.35
-1136080800,0.48,0.48,0.48,0.48
-1133402400,0.48,0.48,0.48,0.48
-1130983200,0.48,0.48,0.48,0.48
-1128218400,0.48,0.48,0.48,0.48
-1125716400,0.48,0.48,0.48,0.48
-1123038000,0.48,0.48,0.48,0.48
-1120359600,0.48,0.48,0.48,0.48
-1117767600,0.48,0.48,0.48,0.48
-1114916400,0.48,0.48,0.48,0.48
-1112493600,0.48,0.48,0.48,0.48
-1109815200,0.48,0.48,0.48,0.48
-1107050400,0.48,0.48,0.48,0.48
-1104544800,0.64,0.64,0.64,0.64
-1101866400,0.64,0.64,0.64,0.64
-1099447200,0.64,0.64,0.64,0.64
-1096768800,0.64,0.64,0.64,0.64
-1094180400,0.64,0.64,0.64,0.64
-1091329200,0.64,0.64,0.64,0.64
-1088910000,0.64,0.64,0.64,0.64
-1086231600,0.64,0.64,0.64,0.64
-1083466800,0.64,0.64,0.64,0.64
-1080957600,0.64,0.64,0.64,0.64
-1078279200,0.64,0.64,0.64,0.64
-1075600800,0.64,0.64,0.64,0.64
-1073008800,0.45,0.45,0.45,0.45
-1070157600,0.45,0.45,0.45,0.45
-1067738400,0.45,0.45,0.45,0.45
-1065146400,0.45,0.45,0.45,0.45
-1062558000,0.45,0.45,0.45,0.45
-1059879600,0.45,0.45,0.45,0.45
-1057287600,0.45,0.45,0.45,0.45
-1054436400,0.45,0.45,0.45,0.45
-1051930800,0.45,0.45,0.45,0.45
-1049335200,0.45,0.45,0.45,0.45
-1046570400,0.45,0.45,0.45,0.45
-1044064800,0.45,0.45,0.45,0.45
-1041386400,0.45,0.45,0.45,0.45
-1038708000,0.45,0.45,0.45,0.45
-1036288800,0.45,0.45,0.45,0.45
-1033610400,0.45,0.45,0.45,0.45
-1030849200,0.45,0.45,0.45,0.45
-1028343600,0.45,0.45,0.45,0.45
-1025751600,0.45,0.45,0.45,0.45
-1022986800,0.45,0.45,0.45,0.45
-1020394800,0.45,0.45,0.45,0.45
-1017799200,0.45,0.45,0.45,0.45
-1015120800,0.45,0.45,0.45,0.45
-1012528800,0.45,0.45,0.45,0.45
-1009677600,0.43,0.43,0.43,0.43
-1007172000,0.43,0.43,0.43,0.43
-1004752800,0.43,0.43,0.43,0.43
-1002074400,0.43,0.43,0.43,0.43
-999399600,0.43,0.43,0.43,0.43
-996807600,0.43,0.43,0.43,0.43
-994215600,0.43,0.43,0.43,0.43
-991537200,0.43,0.43,0.43,0.43
-988858800,0.43,0.43,0.43,0.43
-986090400,0.43,0.43,0.43,0.43
-983584800,0.43,0.43,0.43,0.43
-980992800,0.43,0.43,0.43,0.43
-978228000,0.39,0.39,0.39,0.39
-975636000,0.39,0.39,0.39,0.39
-973216800,0.39,0.39,0.39,0.39
-970365600,0.39,0.39,0.39,0.39
-967950000,0.39,0.39,0.39,0.39
-965271600,0.39,0.39,0.39,0.39
-962506800,0.39,0.39,0.39,0.39
-960001200,0.39,0.39,0.39,0.39
-957322800,0.39,0.39,0.39,0.39
-954640800,0.39,0.39,0.39,0.39
-952048800,0.39,0.39,0.39,0.39
-949456800,0.39,0.39,0.39,0.39
-946778400,0.35,0.35,0.35,0.35
-944100000,0.35,0.35,0.35,0.35
-941594400,0.35,0.35,0.35,0.35
-938916000,0.35,0.35,0.35,0.35
-936327600,0.35,0.35,0.35,0.35
-933476400,0.35,0.35,0.35,0.35
-931057200,0.35,0.35,0.35,0.35
-928378800,0.35,0.35,0.35,0.35
-925614000,0.35,0.35,0.35,0.35
-923104800,0.35,0.35,0.35,0.35
-920426400,0.35,0.35,0.35,0.35
-917748000,0.35,0.35,0.35,0.35
-915156000,0.35,0.35,0.35,0.35
-912304800,0.35,0.35,0.35,0.35
-909885600,0.35,0.35,0.35,0.35
-907380000,0.35,0.35,0.35,0.35
-904791600,0.35,0.35,0.35,0.35
-902026800,0.35,0.35,0.35,0.35
-899521200,0.35,0.35,0.35,0.35
-896842800,0.35,0.35,0.35,0.35
-894164400,0.35,0.35,0.35,0.35
-891568800,0.35,0.35,0.35,0.35
-888717600,0.35,0.35,0.35,0.35
-886298400,0.35,0.35,0.35,0.35
-883620000,0.38,0.38,0.38,0.38
-880855200,0.38,0.38,0.38,0.38
-878439600,0.38,0.38,0.38,0.38
-875847600,0.38,0.38,0.38,0.38
-873255600,0.38,0.38,0.38,0.38
-870577200,0.38,0.38,0.38,0.38
-867985200,0.38,0.38,0.38,0.38
-865134000,0.38,0.38,0.38,0.38
-862628400,0.38,0.38,0.38,0.38
-860036400,0.38,0.38,0.38,0.38
-857271600,0.38,0.38,0.38,0.38
-854766000,0.38,0.38,0.38,0.38
-852087600,0.45,0.45,0.45,0.45
-849409200,0.45,0.45,0.45,0.45
-846990000,0.45,0.45,0.45,0.45
-844311600,0.45,0.45,0.45,0.45
-841546800,0.45,0.45,0.45,0.45
-839041200,0.45,0.45,0.45,0.45
-836449200,0.45,0.45,0.45,0.45
-833684400,0.45,0.45,0.45,0.45
-831092400,0.45,0.45,0.45,0.45
-828500400,0.45,0.45,0.45,0.45
-825822000,0.45,0.45,0.45,0.45
-823230000,0.45,0.45,0.45,0.45
-820378800,0.45,0.45,0.45,0.45
-817873200,0.45,0.45,0.45,0.45
-815367600,0.45,0.45,0.45,0.45
-812516400,0.45,0.45,0.45,0.45
-810097200,0.45,0.45,0.45,0.45
-807418800,0.45,0.45,0.45,0.45
-804654000,0.45,0.45,0.45,0.45
-802148400,0.45,0.45,0.45,0.45
-799470000,0.45,0.45,0.45,0.45
-796791600,0.45,0.45,0.45,0.45
-794199600,0.45,0.45,0.45,0.45
-791607600,0.45,0.45,0.45,0.45
-788929200,0.52,0.52,0.52,0.52
-786250800,0.52,0.52,0.52,0.52
-783831600,0.52,0.52,0.52,0.52
-781066800,0.52,0.52,0.52,0.52
-778561200,0.52,0.52,0.52,0.52
-775882800,0.52,0.52,0.52,0.52
-773204400,0.52,0.52,0.52,0.52
-770612400,0.52,0.52,0.52,0.52
-767761200,0.52,0.52,0.52,0.52
-765338400,0.52,0.52,0.52,0.52
-762660000,0.52,0.52,0.52,0.52
-759895200,0.52,0.52,0.52,0.52
-757389600,0.8,0.8,0.8,0.8
-754711200,0.8,0.8,0.8,0.8
-752292000,0.8,0.8,0.8,0.8
-749613600,0.8,0.8,0.8,0.8
-747025200,0.8,0.8,0.8,0.8
-744174000,0.8,0.8,0.8,0.8
-741754800,0.8,0.8,0.8,0.8
-739076400,0.8,0.8,0.8,0.8
-736311600,0.8,0.8,0.8,0.8
-733802400,0.8,0.8,0.8,0.8
-731124000,0.8,0.8,0.8,0.8
-728445600,0.8,0.8,0.8,0.8
-725853600,0.72,0.72,0.72,0.72
-723002400,0.72,0.72,0.72,0.72
-720583200,0.72,0.72,0.72,0.72
-718077600,0.72,0.72,0.72,0.72
-715489200,0.72,0.72,0.72,0.72
-712724400,0.72,0.72,0.72,0.72
-710218800,0.72,0.72,0.72,0.72
-707540400,0.72,0.72,0.72,0.72
-704862000,0.72,0.72,0.72,0.72
-702266400,0.72,0.72,0.72,0.72
-699415200,0.72,0.72,0.72,0.72
-696996000,0.72,0.72,0.72,0.72
-694317600,0.74,0.74,0.74,0.74
-691552800,0.74,0.74,0.74,0.74
-689133600,0.74,0.74,0.74,0.74
-686455200,0.74,0.74,0.74,0.74
-683694000,0.74,0.74,0.74,0.74
-681188400,0.74,0.74,0.74,0.74
-678596400,0.74,0.74,0.74,0.74
-675831600,0.74,0.74,0.74,0.74
-673239600,0.74,0.74,0.74,0.74
-670644000,0.74,0.74,0.74,0.74
-667965600,0.74,0.74,0.74,0.74
-665373600,0.74,0.74,0.74,0.74
-662522400,0.72,0.72,0.72,0.72
-660016800,0.72,0.72,0.72,0.72
-657597600,0.72,0.72,0.72,0.72
-654919200,0.72,0.72,0.72,0.72
-652244400,0.72,0.72,0.72,0.72
-649652400,0.72,0.72,0.72,0.72
-647060400,0.72,0.72,0.72,0.72
-644382000,0.72,0.72,0.72,0.72
-641703600,0.72,0.72,0.72,0.72
-638935200,0.72,0.72,0.72,0.72
-636429600,0.72,0.72,0.72,0.72
-633837600,0.72,0.72,0.72,0.72
-631072800,0.74,0.74,0.74,0.74
-628480800,0.74,0.74,0.74,0.74
-626061600,0.74,0.74,0.74,0.74
-623210400,0.74,0.74,0.74,0.74
-620794800,0.74,0.74,0.74,0.74
-618116400,0.74,0.74,0.74,0.74
-615351600,0.74,0.74,0.74,0.74
-612846000,0.74,0.74,0.74,0.74
-610167600,0.74,0.74,0.74,0.74
-607485600,0.74,0.74,0.74,0.74
-604893600,0.74,0.74,0.74,0.74
-602301600,0.74,0.74,0.74,0.74
-599623200,0.89,0.89,0.89,0.89
-596944800,0.89,0.89,0.89,0.89
-594525600,0.89,0.89,0.89,0.89
-591760800,0.89,0.89,0.89,0.89
-589258800,0.89,0.89,0.89,0.89
-586580400,0.89,0.89,0.89,0.89
-583902000,0.89,0.89,0.89,0.89
-581310000,0.89,0.89,0.89,0.89
-578458800,0.89,0.89,0.89,0.89
-576036000,0.89,0.89,0.89,0.89
-573357600,0.89,0.89,0.89,0.89
-570592800,0.89,0.89,0.89,0.89
-568087200,0.85,0.85,0.85,0.85
-565408800,0.85,0.85,0.85,0.85
-562730400,0.85,0.85,0.85,0.85
-560224800,0.85,0.85,0.85,0.85
-557636400,0.85,0.85,0.85,0.85
-554871600,0.85,0.85,0.85,0.85
-552366000,0.85,0.85,0.85,0.85
-549687600,0.85,0.85,0.85,0.85
-547009200,0.85,0.85,0.85,0.85
-544413600,0.85,0.85,0.85,0.85
-541562400,0.85,0.85,0.85,0.85
-539143200,0.85,0.85,0.85,0.85
-536464800,0.85,0.85,0.85,0.85
-533700000,0.85,0.85,0.85,0.85
-531280800,0.85,0.85,0.85,0.85
-528688800,0.85,0.85,0.85,0.85
-526100400,0.85,0.85,0.85,0.85
-523422000,0.85,0.85,0.85,0.85
-520830000,0.85,0.85,0.85,0.85
-517978800,0.85,0.85,0.85,0.85
-515473200,0.85,0.85,0.85,0.85
-512877600,0.85,0.85,0.85,0.85
-510112800,0.85,0.85,0.85,0.85
-507607200,0.85,0.85,0.85,0.85
-504928800,0.85,0.85,0.85,0.85
-502250400,0.85,0.85,0.85,0.85
-499831200,0.85,0.85,0.85,0.85
-497152800,0.85,0.85,0.85,0.85
-494391600,0.85,0.85,0.85,0.85
-491886000,0.85,0.85,0.85,0.85
-489294000,0.85,0.85,0.85,0.85
-486529200,0.85,0.85,0.85,0.85
-483937200,0.85,0.85,0.85,0.85
-481341600,0.85,0.85,0.85,0.85
-478663200,0.85,0.85,0.85,0.85
-476071200,0.85,0.85,0.85,0.85
-473220000,0.89,0.89,0.89,0.89
-470714400,0.89,0.89,0.89,0.89
-468295200,0.89,0.89,0.89,0.89
-465616800,0.89,0.89,0.89,0.89
-462942000,0.89,0.89,0.89,0.89
-460350000,0.89,0.89,0.89,0.89
-457758000,0.89,0.89,0.89,0.89
-455079600,0.89,0.89,0.89,0.89
-452401200,0.89,0.89,0.89,0.89
